Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
18/02/2023;15;111;theodorus;1;2;10:55;0;0;0;0;oui;1;1;2;1;0;0;0;0
19/02/2023;15;111;theodorus;1;3;10:15;0;0;0;0;oui;1;1;2;1;0;0;0;0
02/03/2023;23;311;theodorus;1;1;09:00;4;9;0;0;oui;2;1;2;1;4;9;0;0
03/03/2023;23;311;theodorus;1;2;09:47;5;4;0;0;oui;2;1;2;1;5;4;0;0
04/03/2023;23;311;theodorus;1;3;10:50;0;0;0;0;non;2;1;2;1;0;0;0;0
02/03/2023;24;274;theodorus;1;1;09:11;0;0;0;0;non;2;1;2;1;0;0;0;0
03/03/2023;24;274;theodorus;1;2;09:35;2;1;0;0;oui;2;1;2;1;2;1;0;0
04/03/2023;24;274;theodorus;1;3;11:24;5;3;0;0;oui;2;1;2;1;5;3;0;0
02/03/2023;25;277;theodorus;1;1;09:23;0;0;0;0;non;2;1;2;1;0;0;0;0
03/03/2023;25;277;theodorus;1;2;10:11;1;0;0;0;oui;2;1;2;1;1;0;0;0
04/03/2023;25;277;theodorus;1;3;11:13;3;5;0;0;oui;2;1;2;1;3;5;0;0
02/03/2023;26;307;theodorus;1;1;09:34;1;0;0;0;oui;2;1;2;1;1;0;0;0
03/03/2023;26;307;theodorus;1;2;09:59;42;53;6;1;oui;2;1;2;1;42;53;6;1
04/03/2023;26;307;theodorus;1;3;10:26;13;12;4;1;oui;2;1;2;1;13;12;4;1
02/03/2023;27;279;theodorus;1;1;09:46;3;0;0;0;oui;2;1;2;1;3;0;0;0
03/03/2023;27;279;theodorus;1;2;09:24;0;0;0;0;oui;2;1;2;1;0;0;0;0
04/03/2023;27;279;theodorus;1;3;11:36;1;0;0;0;oui;2;1;2;1;1;0;0;0
02/03/2023;28;282;theodorus;1;1;09:57;4;3;0;1;oui;2;1;2;1;4;3;0;1
03/03/2023;28;282;theodorus;1;2;09:12;1;2;0;0;oui;2;1;2;1;1;2;0;0
04/03/2023;28;282;theodorus;1;3;11:02;1;3;0;0;oui;2;1;2;1;1;3;0;0
02/03/2023;29;323;theodorus;1;1;10:09;0;1;0;0;non;2;1;2;1;0;1;0;0
03/03/2023;29;323;theodorus;1;2;09:00;0;0;0;0;non;2;1;2;1;0;0;0;0
04/03/2023;29;323;theodorus;1;3;10:38;23;31;9;2;oui;2;1;2;1;23;31;9;2
08/03/2023;30;341;theodorus;1;1;08:58;0;0;0;0;non;2;1;2;1;0;0;0;0
09/03/2023;30;341;theodorus;1;2;11:17;0;0;0;0;non;2;1;2;1;0;0;0;0
10/03/2023;30;341;theodorus;1;3;09:17;1;1;0;0;oui;2;1;2;1;1;1;0;0
08/03/2023;31;337;theodorus;1;1;09:10;3;2;0;0;oui;2;1;2;1;3;2;0;0
09/03/2023;31;337;theodorus;1;2;10:54;2;2;0;0;oui;2;1;2;1;2;2;0;0
10/03/2023;31;337;theodorus;1;3;09:51;1;10;0;0;oui;2;1;2;1;1;10;0;0
08/03/2023;32;338;theodorus;1;1;09:22;0;0;0;0;non;2;1;2;1;0;0;0;0
09/03/2023;32;338;theodorus;1;2;10:43;5;0;0;0;oui;2;1;2;1;5;0;0;0
